Nombre,Nivel,Domicilio,Barrio,point_x,point_y
ESEA en Danza Mastrazzi Curso Vocacional de Danza y Expresión Corporal Juvenil N° 02,Otros Servicios Educativos de la modalidad Común,Formosa 136,CABALLITO,102996.237605999995139,100968.225195000006352
Centro Educativo de Nivel Primario N° 09 - Hospital Borda,Primario de Jóvenes y Adultos,Dr. Ramón Carrillo 371,BARRACAS,107410.708019999990938,99138.354518499996630
Inst. Ntra. Sra. de los Milagros de Caacupé (sede),Secundario de Jóvenes y Adultos,Osvaldo Cruz 3470,BARRACAS,106046.133136000004015,97065.096585000006598
Esc. para Niños y Niñas con Discapacidad Mental N° 05 Dr. Angel Ardaiz,Inicial Especial - Primario Especial,Ferré 1957,NUEVA POMPEYA,103586.068817999999737,96674.199865699993097
"Esc. para Niños, Niñas y Jóvenes con Discapacidad Mental y de Formación Integral N° 07 Juan XXIII",Primario Especial,Mariano Acosta 2936,VILLA SOLDATI,101282.021569999997155,96616.296647600000142
ESEA en Danza Mastrazzi Curso Vocacional de Danza y Expresión Corporal Infantil N° 02,Otros Servicios Educativos de la modalidad Común,Avda. Angel Gallardo 246,CABALLITO,102477.306517000004533,102849.247195000003558
"Centro de Alfabetización, Educación Básica y Trabajo N° 22",Primario de Jóvenes y Adultos - Otros Servicios Educativos de la modalidad de Jóvenes y Adultos,Luna 1913,BARRACAS,106198.188154999996186,96724.532204500006628
Esc. Primaria p/Adultos N° 21 Soldado de Malvinas,Primario de Jóvenes y Adultos - Otros Servicios Educativos de la modalidad de Jóvenes y Adultos,Goleta Santa Cruz 6999 (alt. Gral. Paz 14700),VILLA LUGANO,97153.849988400004804,94444.469710399993346
Esc. Primaria p/Adultos N° 13 Dr. Alfredo Lanari,Primario de Jóvenes y Adultos - Otros Servicios Educativos de la modalidad de Jóvenes y Adultos,Avda. Piedra Buena 4863,VILLA RIACHUELO,98782.232256300005247,93613.624016200003098
Centro Educativo Cursos Especiales - UOEP,Otros Servicios Educativos de la modalidad de Jóvenes y Adultos,Avda. Pavón 4175,BOEDO,103661.312651999978698,99865.446831399996881
Jardín de Infantes Integral N° 01/21°,Inicial Común,Cafayate 5388,VILLA LUGANO,99914.863324100006139,93483.353537899980438
Inst. Vitra,Inicial Especial - Primario Especial,Avda. Manuel Montes de Oca 110,BARRACAS,107867.173039999994216,99991.045776800005115
Inst. Dulce de Leche,Inicial Común,Sarmiento 3711,ALMAGRO,104169.162620000017341,102703.975177999993321
Esc. Primaria p/Adultos N° 04 Presidente Dr. Arturo Umberto Illia,Primario de Jóvenes y Adultos - Otros Servicios Educativos de la modalidad de Jóvenes y Adultos,Avda. Rivadavia 6065,CABALLITO,101046.184213000000454,100600.307104999999865
Esc. Primaria p/Adultos N° 16 Andrés Ferreyra,Primario de Jóvenes y Adultos - Otros Servicios Educativos de la modalidad de Jóvenes y Adultos,Cnel. Apolinario Figueroa 661,VILLA CRESPO,101267.271823000017321,102582.298009999998612
Centro Educativo de Nivel Secundario N° 19,Secundario de Jóvenes y Adultos,José Juan Biedma 459,CABALLITO,100900.204958000002080,101160.313280999995186
Esc. de Comercio N° 16 Gabriela Mistral,Secundario Común,Julián Alvarez 123,VILLA CRESPO,102145.305424999998650,102975.261167999997269
Esc. de Comercio N° 29 Marina Mercante Argentina,Secundario de Jóvenes y Adultos,Avda. Rivadavia 5161,CABALLITO,102214.231643000006443,101187.258093999989796
"Centro de Alfabetización, Educación Básica y Trabajo N° 24",Primario de Jóvenes y Adultos - Otros Servicios Educativos de la modalidad de Jóvenes y Adultos,Avda. Federico Lacroze 4181,CHACARITA,100687.353677999999491,104801.322587999995449
"Centro de Alfabetización, Educación Básica y Trabajo N° 25 Los Patitos",Primario de Jóvenes y Adultos - Otros Servicios Educativos de la modalidad de Jóvenes y Adultos,Miralla y Barros Pazos Mza. 26 Casa 14,VILLA LUGANO,99679.123383300000569,94881.391902200004552
Centro Educativo de Nivel Secundario N° 57,Secundario de Jóvenes y Adultos,Avda. Díaz Vélez 5044 2° piso,CABALLITO,102266.269629000002169,102068.255986999996821
Centro Educativo de Nivel Secundario N° 30,Secundario de Jóvenes y Adultos,Avda. Eva Perón 1502,PARQUE CHACABUCO,101575.150714000003063,99555.284757400004310
Esc. Primaria p/Adultos N° 16 Ejército de Los Andes,Primario de Jóvenes y Adultos - Otros Servicios Educativos de la modalidad de Jóvenes y Adultos,Avda. Triunvirato 4247,VILLA URQUIZA,98357.348503200002597,105754.420498000006774
Esc. Primaria Común N° 03 Cristóbal Colón,Primario Común,Avda. Larrazábal 4051,VILLA LUGANO,99126.903695999993943,94809.386855900011142
Esc. Primaria Común N° 19 Naciones Unidas,Primario Común,Rogelio Yrurtia 5806,SAAVEDRA,96371.894967400003225,107362.996622999999090
Escuela Infantil N° 08/15° (s),Inicial Común,Dr. Pedro Ignacio Rivera 4221 1° Piso,VILLA URQUIZA,98481.193227399999159,106961.339183000003686
Bachillerato Popular de Jóvenes y Adultos Bajo Flores,Secundario de Jóvenes y Adultos,Villa 1-11-14 Mza. 10 Casa 33,FLORES,101852.944436000005226,97702.075047499994980
Esc. Primaria Común N° 22 Prof. Pedro Luis Comi,Primario Común,Tinogasta 5046,VILLA DEVOTO,94960.113396800006740,101731.562799000006635
Centro Educativo de Nivel Secundario N° 07,Secundario de Jóvenes y Adultos,Tinogasta 5768,VILLA REAL,94259.067434900003718,100961.592132999998285
"Esc. para Niños, Niñas, Jóvenes y Adultos con Discapacidad Mental y Formación Integral N° 02 Domingo F Sarmiento",Primario Especial - Otros Servicios Educativos de la modalidad Especial,Pedro Lozano 3056,VILLA DEL PARQUE,97197.220999199998914,103256.468976999982260
"Esc. para Niños, Niñas, Jóvenes y Adultos con Discapacidad Mental y Formación Integral N° 03 N Mir de Tobar García",Inicial Especial - Primario Especial - Otros Servicios Educativos de la modalidad Especial,Avda. Francisco Beiró 4418,VILLA DEVOTO,95373.155117699992843,102533.545490000004065
Esc. Primaria p/Adultos N° 18 Dr. Rafael Herrera Vegas,Primario de Jóvenes y Adultos - Otros Servicios Educativos de la modalidad de Jóvenes y Adultos,Avda. Gral. Las Heras 3086,RECOLETA,105265.455281000002287,105101.130306999999448
Esc. Primaria Común N° 01 Valentín Gómez,Primario Común,Avda. Independencia 758,SAN TELMO,107878.044762999998056,101342.647414000006393
